id;min;phrase;clicks;ctr;premium_clicks;premium_ctr;shows;max;first_place_ctr;premium_min;premium_max;first_place_clicks
28225;1.88;"!здоровое !питание !с !доставкой !на !дом !москва";4;1.44;68;19.14;344;4.04;1.72;5.5;10.82;5
28226;1.62;"!готовая !еда !на !неделю";4;0.94;63;12.37;327;2.14;1.03;5.11;27.21;4
28227;4.9;"!доставка !готовой !еды !на !неделю";4;1.73;37;14.68;281;5.24;1.72;8.36;28.52;4
28228;1.11;"!питание !на !неделю !с !доставкой";3;1.44;30;17.38;146;1.72;1.9;3.19;11.4;3
28229;2.52;"!доставка !правильного !питания !москва";3;1.25;34;14.18;193;4.02;1.35;7.78;15.54;4
28230;8.12;"!доставка !здоровой !еды !москва";2;1.04;10;8.35;97;8.12;1.04;10.59;18.77;2
28231;2.56;"!доставка !здорового !питания !москва";4;1.54;50;16.87;263;3.76;1.6;5.18;9.2;4
28232;2.6;"!доставка !здорового !питания";3;0.95;32;10;294;4.63;1.01;7.27;17.83;4
28233;9.57;"!доставка !еды !на !неделю";5;1.46;51;9.65;400;9.57;1.46;11.66;22.69;5
28234;1.5;"!доставка !правильного !питания !москва !недорого !на !неделю";2;1.77;12;17.12;56;3.34;1.76;8.21;35.2;2
28235;1.99;"!диетическое !питание !с !доставкой !на !дом";2;1.62;34;22.67;142;2.5;1.74;3.4;10.7;3
28236;1.04;"!дженерал !фуд !официальный !сайт";2;0.24;4;12.78;29;2.16;0.29;1.36;1.69;2
28237;3.59;"!правильное !питание !с !доставкой";2;1.4;15;14.62;100;4.36;1.4;7.24;18.24;2
28238;6.28;"!еда !на !неделю !с !доставкой !москва";3;0.97;47;11.4;268;9.76;0.95;9.7;40.88;3
28239;2.99;"!доставка !правильного !питания";4;1.34;38;10.7;312;4.69;1.53;9.69;26.17;5
28240;1.11;"!готовое !питание !на !неделю";2;1.27;18;26.11;71;1.72;1.27;1.38;5.3;2
28241;1.58;"!еда !на !дом !на !неделю";2;0.78;14;15.23;78;1.88;0.78;3.71;22.1;2
28242;7.2;"!вегетарианская !еда !с !доставкой !на !дом !москва";2;0.88;10;12.3;67;7.2;0.88;6.32;12.75;2
28243;5.09;"!здоровое !питание !с !доставкой !на !дом";2;0.48;19;14.12;130;5.42;0.49;5.34;11.66;2
28244;5.71;"!питание !с !доставкой !на !дом";2;0.83;7;12.83;36;5.72;0.83;7.41;14.57;2
28245;10.24;"!еда !на !неделю !с !доставкой";3;1.19;20;12.93;157;10.24;1.19;7.73;14.51;3
28246;2.85;"!готовая !еда !для !похудения !с !доставкой";2;0.9;28;18.05;164;3.83;0.89;4.09;9.7;2
28247;4.32;"!здоровое !питание !с !доставкой";2;1.23;20;18.79;100;4.32;1.23;4.19;9.88;2
28248;7.8;"!правильное !питание !доставка";3;1.58;12;11.45;78;7.96;1.59;10.55;22.95;3
28249;9.42;"!готовая !еда !на !неделю !с !доставкой";2;1.09;14;14.89;80;9.42;1.09;6.75;13.81;2
28250;5.39;"!здоровая !еда !с !доставкой !на !дом !москва";2;0.94;21;15.03;120;5.4;0.94;8.95;15.65;2
28251;1.55;"!правильное !питание !купить";2;0.94;5;11.36;33;1.55;0.94;2.05;3.69;2
28252;0.35;"!конструктор !еды";2;0.45;11;8.8;117;0.9;0.49;3.32;5.15;2
28253;3.26;"!еда !для !похудения !с !доставкой !на !дом";2;0.96;25;15.58;128;4.43;0.94;4.69;13.23;2
28254;0.63;"!доставка !питания !на !неделю";2;1.56;7;16.71;41;1.56;2.42;3.96;10.35;2
28255;32.86;"!доставка !еды !вегетарианское !меню";2;0.07;3;5.54;31;32.86;0.07;8.75;20.91;2
28256;1.24;"!готовое !питание !для !похудения !с !доставкой";2;1.05;25;24.19;89;3.14;1.35;3.48;14.38;2
28257;6.03;"!доставка !здоровой !еды";2;0.52;12;9.58;120;6.1;0.52;8.43;31.82;2
28258;4.29;"!доставка !еды !для !похудения !на !дом";2;0.33;6;10.18;54;6.26;0.36;7.07;15.01;2
28259;3.84;"!доставка !еды !для !похудения !москва";2;0.58;8;9.76;52;3.84;0.58;5.9;11.26;2
28260;5.17;"!доставка !диетической !еды !на !дом !москва";2;0.56;10;11.96;69;8.27;0.41;6.28;18.77;2
28261;2.83;"!правильное !питание !с !доставкой !на !дом";2;1.2;22;16.36;150;3.86;1.24;8.69;45.12;2
28262;1.36;"!питание !на !дом";2;1;10;20.17;47;1.98;1.01;2.02;3.49;2
28263;19.25;"!доставка !вегетарианской !еды";2;0.39;10;10.74;83;19.25;0.39;10;20.03;2
28264;3.52;"!доставка !пп !еды !в !москве !недорого";2;1.52;8;14.3;44;5.23;1.45;10.16;38.12;2
